call_id,call_start_time,outside_working_hours,Direction,Outbound_call_answered,Inbound_call_answered,first_agent_answer_time,total_IVR,total_queue_unanswered,total_queue_wait,total_ring,total_talk,total_call_duration (excl. IVR),total_call_duration (incl. IVR),cost_sum,sla_breach,abandon,abandon_within_10s,environment,start_day,week,start_hour,month,year
00000000-01dc-04c7-d629-df1700001aa5,2025-08-04 00:42:05,1,Inbound,0,0,,0,32.0,0.0,0.0,0.0,32.0,32.0,0.0,0,0,0,,2025-08-04,32,0,8,2025
00000000-01dc-04fc-50e9-939400001aa6,2025-08-04 06:57:45,1,Inbound,0,0,,45,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0,0,0,,2025-08-04,32,6,8,2025
00000000-01dc-04fe-cac3-009300001aa7,2025-08-04 07:15:28,1,Inbound,0,0,,36,13.0,0.0,0.0,0.0,13.0,49.0,0.0,0,0,0,,2025-08-04,32,7,8,2025
00000000-01dc-04fe-f6a4-4da000001aa8,2025-08-04 07:16:42,1,Inbound,0,0,,44,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0,0,0,,2025-08-04,32,7,8,2025
00000000-01dc-0501-6f1a-db8900001aa9,2025-08-04 07:34:23,1,Inbound,0,0,,31,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0,0,0,,2025-08-04,32,7,8,2025
00000000-01dc-0501-900f-9cb100001aaa,2025-08-04 07:35:18,1,Inbound,0,0,,47,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0,0,0,,2025-08-04,32,7,8,2025
00000000-01dc-0502-a26f-edd100001aab,2025-08-04 07:42:58,1,Inbound,0,0,,14,12.0,0.0,0.0,0.0,12.0,26.0,0.0,0,0,0,,2025-08-04,32,7,8,2025
00000000-01dc-0503-c383-542b00001aac,2025-08-04 07:51:03,1,Inbound,0,0,,39,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0,0,0,,2025-08-04,32,7,8,2025
00000000-01dc-0503-d488-53f400001aad,2025-08-04 07:51:32,1,Inbound,0,0,,24,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0,0,0,,2025-08-04,32,7,8,2025
00000000-01dc-0504-7ff8-839200001aae,2025-08-04 07:56:20,1,Inbound,0,0,,25,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0,0,0,,2025-08-04,32,7,8,2025
